--------------------
BDMEP - INMET
--------------------
Estação           : FORTALEZA - CE (OMM: 82397)
Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Altitude  (metros): 26.45
Estação Operante
Inicio de operação: 27/10/1919
Periodo solicitado dos dados: 01/01/1986 a 31/12/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;VelocidadeVento
82397;23/03/1994;1200;2.8;
82397;23/03/1994;1800;3.6;
82397;24/03/1994;0000;1.1;
82397;24/03/1994;1200;1.8;
82397;24/03/1994;1800;2.6;
82397;25/03/1994;0000;1.3;
82397;25/03/1994;1200;0.8;
82397;25/03/1994;1800;3.1;
82397;26/03/1994;0000;1.1;
82397;26/03/1994;1200;3.3;
82397;26/03/1994;1800;4.5;
82397;27/03/1994;0000;2.5;
82397;27/03/1994;1200;1.8;
82397;27/03/1994;1800;1.5;
82397;28/03/1994;0000;0;
82397;28/03/1994;1200;2.3;
82397;28/03/1994;1800;3.6;
82397;29/03/1994;0000;2.6;
82397;29/03/1994;1200;0.3;
82397;29/03/1994;1800;2.5;
82397;30/03/1994;0000;1.3;
82397;30/03/1994;1200;2.1;
82397;30/03/1994;1800;2.3;
82397;31/03/1994;0000;0.5;
82397;31/03/1994;1200;3.1;
82397;31/03/1994;1800;4;
82397;01/04/1994;0000;1.3;
82397;01/04/1994;1200;1.6;
82397;01/04/1994;1800;3.6;
82397;02/04/1994;0000;0.8;
82397;02/04/1994;1200;2;
82397;02/04/1994;1800;3.1;
82397;03/04/1994;0000;0.7;
82397;03/04/1994;1200;1.5;
82397;03/04/1994;1800;2.6;
82397;04/04/1994;0000;0.5;
82397;04/04/1994;1200;3;
82397;04/04/1994;1800;3.6;
82397;05/04/1994;0000;0.5;
82397;05/04/1994;1200;2.6;
82397;05/04/1994;1800;3.5;
82397;06/04/1994;0000;0.5;
82397;06/04/1994;1200;1;
82397;06/04/1994;1800;1.5;
82397;07/04/1994;0000;0.7;
82397;07/04/1994;1200;0.3;
82397;07/04/1994;1800;0.8;
82397;08/04/1994;0000;0.3;
82397;08/04/1994;1200;2.3;
82397;08/04/1994;1800;3.1;
82397;09/04/1994;0000;0.5;
82397;09/04/1994;1200;0.3;
82397;09/04/1994;1800;0.3;
82397;10/04/1994;0000;1.3;
82397;10/04/1994;1200;3.6;
82397;10/04/1994;1800;4.6;
82397;11/04/1994;0000;0.3;
82397;11/04/1994;1200;2.8;
82397;11/04/1994;1800;3.3;
82397;12/04/1994;0000;0;
82397;12/04/1994;1200;3.1;
82397;12/04/1994;1800;3.3;
82397;13/04/1994;0000;1.3;
82397;13/04/1994;1200;2.1;
82397;13/04/1994;1800;2.6;
82397;14/04/1994;0000;0.8;
82397;14/04/1994;1200;2.5;
82397;14/04/1994;1800;4.1;
82397;15/04/1994;0000;1.3;
82397;15/04/1994;1200;0;
82397;15/04/1994;1800;2;
82397;16/04/1994;0000;0;
82397;16/04/1994;1200;1.6;
82397;16/04/1994;1800;3.5;
82397;17/04/1994;0000;0;
82397;17/04/1994;1200;2.3;
82397;17/04/1994;1800;4.3;
82397;18/04/1994;0000;1.1;
82397;18/04/1994;1200;3;
82397;18/04/1994;1800;3.5;
82397;19/04/1994;0000;1.1;
82397;19/04/1994;1200;1.8;
82397;19/04/1994;1800;2.8;
82397;20/04/1994;0000;0.5;
82397;20/04/1994;1200;3;
82397;20/04/1994;1800;1.6;
82397;21/04/1994;0000;0.7;
82397;21/04/1994;1200;2;
82397;21/04/1994;1800;2;
82397;22/04/1994;0000;0.8;
82397;22/04/1994;1200;3.6;
82397;22/04/1994;1800;5;
82397;23/04/1994;0000;0.5;
82397;23/04/1994;1200;0.7;
82397;23/04/1994;1800;3.3;
82397;24/04/1994;0000;0.7;
82397;24/04/1994;1200;4.8;
82397;24/04/1994;1800;4.8;
82397;25/04/1994;0000;0.8;
82397;25/04/1994;1200;2.8;
82397;25/04/1994;1800;3.1;
82397;26/04/1994;0000;0.3;
82397;26/04/1994;1200;1.5;
